study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
K2ZJ4QNZ,K2ZJ4QNZ,Account balances,Total savings account balances in USD,SOUP match,,7,-4.84,4.93,,,1063,SOUP match | -4.84 (4.93),"Table 7, Row 'SOUP match', Column '(3) balances (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Consumption index,Standardized index of monthly per capita consumption centered around baseline mean,GUP savings,,1,0.084,0.05,0.091,,3707,GUP sav. | 0.084* (0.050),"Table 1, Row 'GUP sav.', Column '(2) consumption index'"
K2ZJ4QNZ,K2ZJ4QNZ,Consumption index,Standardized index of monthly per capita consumption centered around baseline mean,SOUP,,2,-0.013,0.034,0.7,,3597,SOUP | -0.013 (0.034),"Table 2, Row 'SOUP', Column '(2) consumption index'"
K2ZJ4QNZ,K2ZJ4QNZ,Consumption index,Standardized index of monthly per capita consumption centered around baseline mean,GUP no savings,,2,0.124,0.046,0.007,,3597,GUP no sav. | 0.124*** (0.046),"Table 2, Row 'GUP no sav.', Column '(2) consumption index'"
K2ZJ4QNZ,K2ZJ4QNZ,Consumption index,Standardized index of monthly per capita consumption centered around baseline mean,GUP savings,,2,0.05,0.036,0.169,,3597,GUP sav. | 0.050 (0.036),"Table 2, Row 'GUP sav.', Column '(2) consumption index'"
K2ZJ4QNZ,K2ZJ4QNZ,Cow value,Value of cows owned in USD,GUP no savings,,4,12.975,12.953,0.317,,8217,GUP no sav. | 12.975 (12.953),"Table 4, Row 'GUP no sav.', Column '(5) cow value (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Crop income,Monthly crop income in USD,SOUP,,3,-2.281,2.762,0.409,,3698,SOUP | -2.281 (2.762),"Table 3, Row 'SOUP', Column '(3) crop income, monthly (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Cumulative deposits,Total cumulative deposits in USD,SOUP match,,7,7.7,5.89,,,1064,SOUP match | 7.70 (5.89),"Table 7, Row 'SOUP match', Column '(1) cum. deposits (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Financial inclusion index,Standardized index of loans and savings balances centered around baseline mean,SOUP,,1,0.497,0.093,0.0,,3708,SOUP | 0.497*** (0.093),"Table 1, Row 'SOUP', Column '(3) financial inclusion index'"
K2ZJ4QNZ,K2ZJ4QNZ,Financial inclusion index,Standardized index of loans and savings balances centered around baseline mean,GUP no savings,,1,0.172,0.098,0.08,,3708,GUP no sav. | 0.172* (0.098),"Table 1, Row 'GUP no sav.', Column '(3) financial inclusion index'"
K2ZJ4QNZ,K2ZJ4QNZ,Financial inclusion index,Standardized index of loans and savings balances centered around baseline mean,GUP savings,,1,1.247,0.142,0.0,,3708,GUP sav. | 1.247*** (0.142),"Table 1, Row 'GUP sav.', Column '(3) financial inclusion index'"
K2ZJ4QNZ,K2ZJ4QNZ,Food security index,Standardized index of food security measures centered around baseline mean,SOUP,,1,0.056,0.043,0.185,,3708,SOUP | 0.056 (0.043),"Table 1, Row 'SOUP', Column '(4) food security index'"
K2ZJ4QNZ,K2ZJ4QNZ,Food security index,Standardized index of food security measures centered around baseline mean,GUP no savings,,1,0.104,0.049,0.035,,3708,GUP no sav. | 0.104** (0.049),"Table 1, Row 'GUP no sav.', Column '(4) food security index'"
K2ZJ4QNZ,K2ZJ4QNZ,Food security index,Standardized index of food security measures centered around baseline mean,GUP savings,,1,-0.017,0.047,0.722,,3708,GUP sav. | -0.017 (0.047),"Table 1, Row 'GUP sav.', Column '(4) food security index'"
K2ZJ4QNZ,K2ZJ4QNZ,Fowl value,Value of fowl owned in USD,GUP no savings,,4,12.527,3.722,0.001,,8222,GUP no sav. | 12.527*** (3.722),"Table 4, Row 'GUP no sav.', Column '(2) fowl value (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Goat value,Value of goats owned in USD,GUP no savings,,4,71.511,7.984,0.001,,8217,GUP no sav. | 71.511*** (7.984),"Table 4, Row 'GUP no sav.', Column '(1) goat value (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Household has business,Whether household operates a business (0/1),SOUP,,3,-0.023,0.028,0.419,,3605,SOUP | -0.023 (0.028),"Table 3, Row 'SOUP', Column '(1) household has business'"
K2ZJ4QNZ,K2ZJ4QNZ,Income index,Standardized index of income measures centered around baseline mean,SOUP,,1,0.064,0.05,0.2,,3800,SOUP | 0.064 (0.050),"Table 1, Row 'SOUP', Column '(5) income index'"
K2ZJ4QNZ,K2ZJ4QNZ,Income index,Standardized index of income measures centered around baseline mean,GUP no savings,,1,0.138,0.054,0.011,,3800,GUP no sav. | 0.138** (0.054),"Table 1, Row 'GUP no sav.', Column '(5) income index'"
K2ZJ4QNZ,K2ZJ4QNZ,Income index,Standardized index of income measures centered around baseline mean,GUP savings,,1,0.206,0.056,0.0,,3800,GUP sav. | 0.206*** (0.056),"Table 1, Row 'GUP sav.', Column '(5) income index'"
K2ZJ4QNZ,K2ZJ4QNZ,Pig value,Value of pigs owned in USD,GUP no savings,,4,4.55,2.002,0.023,,8217,GUP no sav. | 4.550** (2.002),"Table 4, Row 'GUP no sav.', Column '(3) pig value (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Self-reported balances at three years,Self-reported savings balances at three years in USD,SOUP match,,7,3.01,1.38,0.05,,3597,SOUP match | 3.01** (1.38),"Table 7, Row 'SOUP match', Column '(5) self-reported balances three-year (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Self-reported balances at two years,Self-reported savings balances at two years in USD,SOUP match,,7,13.96,2.7,0.01,,3703,SOUP match | 13.96*** (2.70),"Table 7, Row 'SOUP match', Column '(4) self-reported balances two-year (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Sheep value,Value of sheep owned in USD,GUP no savings,,4,1.377,9.006,0.878,,8217,GUP no sav. | 1.377 (9.006),"Table 4, Row 'GUP no sav.', Column '(4) sheep value (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Wage income,Monthly wage income in USD,SOUP,,3,-0.384,0.42,0.361,,3604,SOUP | -0.384 (0.420),"Table 3, Row 'SOUP', Column '(5) wage income, monthly (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Withdrawals,Total withdrawals in USD,SOUP match,,7,12.53,3.78,0.01,,1063,SOUP match | 12.53*** (3.78),"Table 7, Row 'SOUP match', Column '(2) withdrawals (USD)'"
