study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
PHRKN65M,PHRKN65M,Amount loan,Amount loan (MWK),Project,,6,2018,863.4,0.05,,786,"Project | 2,018** (863.4)","Table 6, Row 'Project', Column '(7) Amount loan (MWK)'"
PHRKN65M,PHRKN65M,Per capita number of livestock,Number of livestock per household member,Project,,9,0.288,0.142,0.05,,786,Project | 0.288** (0.142),"Table 9, Row 'Project', Column 'Per capita number of livestock'"
PHRKN65M,PHRKN65M,Per capita number of non-agricultural assets,Number of non-agricultural assets per household member,Project,,10,0.138,0.109,,,786,Project | 0.138 (0.109),"Table 10, Row 'Project', Column 'Per capita number of non-agricultural assets'"
PHRKN65M,PHRKN65M,Per capita quantity of harvest,Quantity of harvest per household member (kg),Project,,12,42.0,23.81,0.1,,778,Project | 42.00* (23.81),"Table 12, Row 'Project', Column 'Per capita quantity of harvest (kg)'"
PHRKN65M,PHRKN65M,Per capita quantity of harvest (own consumption),Per capita quantity of harvest used for own consumption (kg),Project,,1,30.04,,0.05,,,Project | 30.04**,"Table 1, Row 'Project', Column 'Per capita quantity of harvest (own consumption) (kg)'"
PHRKN65M,PHRKN65M,Per capita quantity of harvest own consumption,Quantity of harvest for own consumption per household member (kg),Project,,12,30.04,13.36,0.05,,778,Project | 30.04** (13.36),"Table 12, Row 'Project', Column 'Per capita quantity of harvest: own consumption (kg)'"
PHRKN65M,PHRKN65M,Per capita quantity of harvest sold,Per capita quantity of harvest sold (kg),Project,,1,2.316,,,,,Project | 2.316,"Table 1, Row 'Project', Column 'Per capita quantity of harvest sold (kg)'"
PHRKN65M,PHRKN65M,Per capita quantity of harvest sold,Per capita quantity of harvest sold (kg),Project,,12,2.316,2.348,,,778,Project | 2.316 (2.348),"Table 12, Row 'Project', Column 'Per capita quantity of harvest sold (kg)'"
PHRKN65M,PHRKN65M,Per capita total consumption,Per capita total consumption (MWK),Project,,1,17595,,,,,"Project | 17,595","Table 1, Row 'Project', Column 'Per capita total consumption (MWK)'"
PHRKN65M,PHRKN65M,Per capita value of harvest,Per capita value of harvest (MWK),Project,,1,3496,,0.1,,,"Project | 3,496*","Table 1, Row 'Project', Column 'Per capita value of harvest (MWK)'"
PHRKN65M,PHRKN65M,Per capita value of harvest,Per capita value of harvest (MWK),Project,,13,3496,1933,0.1,,778,"Project | 3,496* (1,933)","Table 13, Row 'Project', Column 'Per capita value of harvest (MWK)'"
PHRKN65M,PHRKN65M,Per capita value of harvest (own consumption),Per capita value of harvest used for own consumption (MWK),Project,,1,1925,,0.1,,,"Project | 1,925*","Table 1, Row 'Project', Column 'Per capita value of harvest (own consumption) (MWK)'"
PHRKN65M,PHRKN65M,Per capita value of harvest own consumption,Value of harvest for own consumption per household member (MWK),Project,,13,1925,1049,0.1,,778,"Project | 1,925* (1,049)","Table 13, Row 'Project', Column 'Per capita value of harvest: own consumption (MWK)'"
PHRKN65M,PHRKN65M,Per capita value of harvest sold,Per capita value of harvest sold (MWK),Project,,1,1319,,,,,"Project | 1,319","Table 1, Row 'Project', Column 'Per capita value of harvest sold (MWK)'"
PHRKN65M,PHRKN65M,Per capita value of harvest sold,Per capita value of harvest sold (MWK),Project,,13,1319,843.8,,,778,"Project | 1,319 (843.8)","Table 13, Row 'Project', Column 'Per capita value of harvest sold (MWK)'"
PHRKN65M,PHRKN65M,Per capita wealth of livestock,Total market value of livestock per household member (MWK),Project,,9,7462,2129,0.01,,786,"Project | 7,462*** (2,129)","Table 9, Row 'Project', Column 'Per capita wealth of livestock (MWK)'"
PHRKN65M,PHRKN65M,Poor household,Poor household (yes/no),Project,,1,-0.06,,,,,Project | -0.06,"Table 1, Row 'Project', Column 'Poor household (yes/no)'"
PHRKN65M,PHRKN65M,Profits of non-farm business,Profits of non-farm business (MWK),Project,,7,793.5,409.7,0.1,,760,Project | 793.5* (409.7),"Table 7, Row 'Project', Column '(5) Profits of non-farm business (MWK)'"
PHRKN65M,PHRKN65M,Profits of non-farm business,Profits of non-farm business (MWK),Lump-sum plus training,,7,1065,491.9,0.05,,760,"Lump-sum plus training | 1,065** (491.9)","Table 7, Row 'Lump-sum plus training', Column '(6) Profits of non-farm business (MWK)'"
PHRKN65M,PHRKN65M,Sales of non-farm business,Sales of non-farm business (MWK),Project,,7,1965,898.8,0.05,,760,"Project | 1,965** (898.8)","Table 7, Row 'Project', Column '(3) Sales of non-farm business (MWK)'"
PHRKN65M,PHRKN65M,Sales of non-farm business,Sales of non-farm business (MWK),Lump-sum plus training,,7,2300,973.7,0.05,,760,"Lump-sum plus training | 2,300** (973.7)","Table 7, Row 'Lump-sum plus training', Column '(4) Sales of non-farm business (MWK)'"
PHRKN65M,PHRKN65M,Saving uptake,Saving uptake (yes/no),Project,,6,0.263,0.0761,0.01,,786,Project | 0.263*** (0.0761),"Table 6, Row 'Project', Column '(1) Saving uptake (yes/no)'"
PHRKN65M,PHRKN65M,Saving uptake,Saving uptake (yes/no),Lump-sum plus training,,6,0.339,0.0335,0.01,,786,Lump-sum plus training | 0.339*** (0.0335),"Table 6, Row 'Lump-sum plus training', Column '(2) Saving uptake (yes/no)'"
PHRKN65M,PHRKN65M,Start non-farm business,Start non-farm business (yes/no),Project,,7,0.0506,0.0162,0.01,,723,Project | 0.0506*** (0.0162),"Table 7, Row 'Project', Column '(1) Start non-farm business (yes/no)'"
PHRKN65M,PHRKN65M,Start non-farm business,Start non-farm business (yes/no),Lump-sum plus training,,7,0.0773,0.00721,0.01,,723,Lump-sum plus training | 0.0773*** (0.00721),"Table 7, Row 'Lump-sum plus training', Column '(2) Start non-farm business (yes/no)'"
