study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
ABM3E3ZP,ABM3E3ZP,Financial literacy index,Financial literacy score (index),Lump-sum only,,5,0.189,0.159,,,,Lump-sum only | 0.189 (0.159),"Table 5, Row 'Lump-sum only', Column '(2) Financial literacy index'"
ABM3E3ZP,ABM3E3ZP,Financial literacy index,Financial literacy score (index),Training-only,,5,0.71,0.0858,0.01,,,Training-only | 0.710*** (0.0858),"Table 5, Row 'Training-only', Column '(2) Financial literacy index'"
ABM3E3ZP,ABM3E3ZP,Gender roles scale,Gender role attitudes scale score,SOF Program,,11,3.73,1.96,0.1,,,Gender roles scale | 3.73* (1.96),"Table 11, Row 'Gender roles scale', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,Happiness Level,Self-reported happiness level,SOF Program,,10,0.04,0.08,,,,Happiness Level | 0.04 (0.08),"Table 10, Row 'Happiness Level', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,Non-farming per capita monthly income,Non-farming per capita monthly income (USD ppp),IV Effect,,7,-10.65,4.35,0.05,,1005,-10.65** (4.35),"Table 7, Row 'Non-farming per capita monthly income', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Participants' monthly labor income from paid work,Participants' monthly labor income from paid work (USD ppp),IV Effect,,7,13.85,7.57,0.1,,1005,13.85* (7.57),"Table 7, Row 'Participants' monthly labor income from paid work', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Participants' total monthly labor income,Participants' total monthly labor income (USD ppp),IV Effect,,7,21.35,9.52,0.05,,1005,21.35** (9.52),"Table 7, Row 'Participants' total monthly labor income', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Per capita total monthly income,Household per capita total monthly income (USD ppp),IV Effect,,7,-4.89,4.96,,,1005,-4.89 (4.96),"Table 7, Row 'Per capita total monthly income', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Saving uptake,Saving uptake (proportion),Project,,6,0.263,0.0761,0.01,,,Project | 0.263*** (0.0761),"Table 6, Row 'Project', Column '(1) Saving uptake'"
ABM3E3ZP,ABM3E3ZP,Social aid related monthly per capita income,Social aid related monthly per capita income (USD ppp),IV Effect,,7,4.28,1.82,0.05,,1005,4.28** (1.82),"Table 7, Row 'Social aid related monthly per capita income', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total household per capita expenditure,Total household per capita expenditure (USD ppp),IV Effect,,9,4.79,6.03,,,1005,4.79 (6.03),"Table 9, Row 'Total household per capita expenditure', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on cleaning items,Total per capita expenditure on cleaning items (USD ppp),IV Effect,,9,-0.81,0.57,,,1005,-0.81 (0.57),"Table 9, Row 'Total per capita expenditure on cleaning items', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on clothing,Total per capita expenditure on clothing (USD ppp),IV Effect,,9,-0.85,0.41,0.05,,1005,-0.85** (0.41),"Table 9, Row 'Total per capita expenditure on clothing', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on education,Total per capita expenditure on education (USD ppp),IV Effect,,9,0.13,0.84,,,1005,0.13 (0.84),"Table 9, Row 'Total per capita expenditure on education', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on financial services,Total per capita expenditure on financial services (USD ppp),IV Effect,,9,-0.8,1.02,,,1005,-0.80 (1.02),"Table 9, Row 'Total per capita expenditure on financial services', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on food,Total per capita expenditure on food (USD ppp),IV Effect,,9,-1.1,2.8,,,1005,-1.10 (2.80),"Table 9, Row 'Total per capita expenditure on food', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on health,Total per capita expenditure on health (USD ppp),IV Effect,,9,0.33,1.25,,,1005,0.33 (1.25),"Table 9, Row 'Total per capita expenditure on health', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on housing,Total per capita expenditure on housing (USD ppp),IV Effect,,9,-0.04,0.09,,,1005,-0.04 (0.09),"Table 9, Row 'Total per capita expenditure on housing', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on public services,Total per capita expenditure on public services (USD ppp),IV Effect,,9,-0.55,0.67,,,1005,-0.55 (0.67),"Table 9, Row 'Total per capita expenditure on public services', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita expenditure on transportation,Total per capita expenditure on transportation (USD ppp),IV Effect,,9,-2.07,1.21,0.1,,1005,-2.07* (1.21),"Table 9, Row 'Total per capita expenditure on transportation', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total per capita monthly expenditure on entertainment and leisure,Total per capita monthly expenditure on entertainment and leisure (USD ppp),IV Effect,,9,1.0,0.68,,,1005,1.00 (0.68),"Table 9, Row 'Total per capita monthly expenditure on entertainment and leisure', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total value of animals in the households,Total value of household animals (USD ppp),IV Effect,,8,412.63,232.43,0.1,,1005,412.63* (232.43),"Table 8, Row 'Total value of animals in the households', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total value of households' non-perishable goods,Total value of household non-perishable goods (USD ppp),IV Effect,,8,22.78,114.18,,,1005,22.78 (114.18),"Table 8, Row 'Total value of households' non-perishable goods', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total value of productive infrastructure,Total value of productive infrastructure (USD ppp),IV Effect,,8,183.68,37.89,0.05,,1005,183.68** (37.89),"Table 8, Row 'Total value of productive infrastructure', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total value of the households' assets,Total value of household assets (USD ppp),IV Effect,,8,633.63,342.1,0.1,,1005,633.63* (342.10),"Table 8, Row 'Total value of the households' assets', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Total value of the households' productive assets,Total value of household productive assets (USD ppp),IV Effect,,8,14.55,47.06,,,1005,14.55 (47.06),"Table 8, Row 'Total value of the households' productive assets', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Wellbeing perception,Self-reported wellbeing perception,SOF Program,,10,0.28,0.14,0.1,,,Wellbeing perception | 0.28* (0.14),"Table 10, Row 'Wellbeing perception', Column 'Effect'"
