Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key
,,XIPIMS2M,1,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Total household consumption per adult equivalent,XIPIMS2M.tei
,,XIPIMS2M,2,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Food security index,XIPIMS2M.tei
,,XIPIMS2M,3,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Asset wealth index,XIPIMS2M.tei
,,XIPIMS2M,4,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Savings index,XIPIMS2M.tei
,,XIPIMS2M,5,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Aggregate household income,XIPIMS2M.tei
,,XIPIMS2M,6,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Psychological well-being index,XIPIMS2M.tei
,,XIPIMS2M,7,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Time use: Paid work for others,XIPIMS2M.tei
,,XIPIMS2M,8,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Time use: Own business,XIPIMS2M.tei
,,XIPIMS2M,9,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1,1,Extreme poverty rate,XIPIMS2M.tei
,,XP5HHJBR,1,,,,,,,,0.0,,,,,,,,,,,Food Consumption Score,XP5HHJBR.tei
,,XP5HHJBR,2,,,,,,,,0.0,,,,,,,,,,,Food Insecurity Experience Scale,XP5HHJBR.tei
,,ZBAE7IPZ,1,,,,,,,,12.0,,,,,,,,,1,1,Total asset value,ZBAE7IPZ.tei
,,ZBAE7IPZ,2,,,,,,,,12.0,,,,,,,,,1,1,Household durables,ZBAE7IPZ.tei
,,ZBAE7IPZ,3,,,,,,,,12.0,,,,,,,,,1,1,Productive capital,ZBAE7IPZ.tei
,,ZBAE7IPZ,4,,,,,,,,12.0,,,,,,,,,1,1,Monthly food consumption per capita,ZBAE7IPZ.tei
,,ZBAE7IPZ,5,,,,,,,,12.0,,,,,,,,,1,1,Non-livestock income,ZBAE7IPZ.tei
,,ZBAE7IPZ,6,,,,,,,,12.0,,,,,,,,,1,1,Food security index,ZBAE7IPZ.tei
,,ZBAE7IPZ,7,,,,,,,,12.0,,,,,,,,,1,1,Any sheep or goat ownership,ZBAE7IPZ.tei
