Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key,paper_id,StudyID_GT,EstimateID_GT
,,CG73D75P,6,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1.0,1.0,Savings likelihood and amount,CG73D75P.tei,122182713,122182713,122182713_6
,,Q8XK3EIW,1,,,,,,,,12.0,,,,,,,,,,,Per capita total consumption,Q8XK3EIW.tei,121295641,121295641,121295641_1
,,Q8XK3EIW,2,,,,,,,,12.0,,,,,,,,,,,Food security index,Q8XK3EIW.tei,121295641,121295641,121295641_2
,,RSAW8CHM,1,,,,,,,,18.0,,,,,,,,,,,Gross daily consumption per adult equivalent,RSAW8CHM.tei,121058356,121058356,121058356_1
,,RSAW8CHM,2,,,,,,,,18.0,,,,,,,,,,,Household food security index,RSAW8CHM.tei,121058356,121058356,121058356_2
,,RSAW8CHM,3,,,,,,,,18.0,,,,,,,,,,,Dietary diversity score,RSAW8CHM.tei,121058356,121058356,121058356_3
,,TSGTVT7T,1,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1.0,5.0,House value,TSGTVT7T.tei,122182716,122182716,122182716_1
,,TSGTVT7T,2,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1.0,5.0,Cash savings,TSGTVT7T.tei,122182716,122182716,122182716_2
,,TSGTVT7T,3,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1.0,5.0,Sanitary latrine holdings,TSGTVT7T.tei,122182716,122182716,122182716_3
,,TSGTVT7T,4,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1.0,5.0,Social awareness index,TSGTVT7T.tei,122182716,122182716,122182716_4
,,TSGTVT7T,5,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1.0,5.0,Food expenditure,TSGTVT7T.tei,122182716,122182716,122182716_5
,,TUJ6CUI3,1,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Per capita consumption,TUJ6CUI3.tei,121058373,121058373,121058373_1
,,TUJ6CUI3,2,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Food security index,TUJ6CUI3.tei,121058373,121058373,121058373_2
,,TUJ6CUI3,3,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Productive and household assets index,TUJ6CUI3.tei,121058373,121058373,121058373_3
,,TUJ6CUI3,4,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Household income and revenues,TUJ6CUI3.tei,121058373,121058373,121058373_4
,,TUJ6CUI3,5,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Physical health index,TUJ6CUI3.tei,121058373,121058373,121058373_5
,,TUJ6CUI3,6,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Mental health index,TUJ6CUI3.tei,121058373,121058373,121058373_6
,,TUJ6CUI3,7,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Political involvement index,TUJ6CUI3.tei,121058373,121058373,121058373_7
,,TUJ6CUI3,8,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Women's empowerment index,TUJ6CUI3.tei,121058373,121058373,121058373_8
,,TUJ6CUI3,9,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1.0,,Adult labor supply,TUJ6CUI3.tei,121058373,121058373,121058373_9
,,VAUQIN7W,1,,,,,,,,9.0,,,,,,,,,,,Ultra-poverty probability,VAUQIN7W.tei,121354848,121354848,121354848_1
,,VAUQIN7W,2,,,,,,,,9.0,,,,,,,,,,,Agricultural equipment index,VAUQIN7W.tei,121354848,121354848,121354848_2
,,VAUQIN7W,3,,,,,,,,9.0,,,,,,,,,,,Severe food insecurity,VAUQIN7W.tei,121354848,121354848,121354848_3
,,VAUQIN7W,4,,,,,,,,9.0,,,,,,,,,,,Dietary diversity score,VAUQIN7W.tei,121354848,121354848,121354848_4
,,VAUQIN7W,5,,,,,,,,9.0,,,,,,,,,,,Severe stunting,VAUQIN7W.tei,121354848,121354848,121354848_5
,,VAUQIN7W,6,,,,,,,,9.0,,,,,,,,,,,Aspired years of education,VAUQIN7W.tei,121354848,121354848,121354848_6
,,VAUQIN7W,7,,,,,,,,9.0,,,,,,,,,,,Agricultural revenue,VAUQIN7W.tei,121354848,121354848,121354848_7
,,XIPIMS2M,1,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Total household consumption per adult equivalent,XIPIMS2M.tei,121327437,121327437,121327437_1
,,XIPIMS2M,2,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Food security index,XIPIMS2M.tei,121327437,121327437,121327437_2
,,XIPIMS2M,3,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Asset wealth index,XIPIMS2M.tei,121327437,121327437,121327437_3
,,XIPIMS2M,4,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Savings index,XIPIMS2M.tei,121327437,121327437,121327437_4
,,XIPIMS2M,5,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Aggregate household income,XIPIMS2M.tei,121327437,121327437,121327437_5
,,XIPIMS2M,6,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Psychological well-being index,XIPIMS2M.tei,121327437,121327437,121327437_6
,,XIPIMS2M,7,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Time use: Paid work for others,XIPIMS2M.tei,121327437,121327437,121327437_7
,,XIPIMS2M,8,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Time use: Own business,XIPIMS2M.tei,121327437,121327437,121327437_8
,,XIPIMS2M,9,,,,Supporting Women's Livelihoods (SWL),"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",Zambia,2015.0,38.0,6.0,,,,,,,,1.0,1.0,Extreme poverty rate,XIPIMS2M.tei,121327437,121327437,121327437_9
,,XP5HHJBR,1,,,,,,,,0.0,,,,,,,,,,,Food Consumption Score,XP5HHJBR.tei,121294841,121294841,121294841_1
,,XP5HHJBR,2,,,,,,,,0.0,,,,,,,,,,,Food Insecurity Experience Scale,XP5HHJBR.tei,121294841,121294841,121294841_2
,,ZBAE7IPZ,1,,,,,,,,12.0,,,,,,,,,1.0,1.0,Total asset value,ZBAE7IPZ.tei,121058369,121058369,121058369_1
,,ZBAE7IPZ,2,,,,,,,,12.0,,,,,,,,,1.0,1.0,Household durables,ZBAE7IPZ.tei,121058369,121058369,121058369_2
,,ZBAE7IPZ,3,,,,,,,,12.0,,,,,,,,,1.0,1.0,Productive capital,ZBAE7IPZ.tei,121058369,121058369,121058369_3
,,ZBAE7IPZ,4,,,,,,,,12.0,,,,,,,,,1.0,1.0,Monthly food consumption per capita,ZBAE7IPZ.tei,121058369,121058369,121058369_4
,,ZBAE7IPZ,5,,,,,,,,12.0,,,,,,,,,1.0,1.0,Non-livestock income,ZBAE7IPZ.tei,121058369,121058369,121058369_5
,,ZBAE7IPZ,6,,,,,,,,12.0,,,,,,,,,1.0,1.0,Food security index,ZBAE7IPZ.tei,121058369,121058369,121058369_6
,,ZBAE7IPZ,7,,,,,,,,12.0,,,,,,,,,1.0,1.0,Any sheep or goat ownership,ZBAE7IPZ.tei,121058369,121058369,121058369_7
