Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key
,,Q8XK3EIW,Q8XK3EIW_1,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Per capita total consumption,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_2,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Food security index,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_3,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Financial inclusion index,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_4,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Livestock assets index,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_5,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Total time spent working,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_6,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Total monthly household income,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_7,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Psychological well-being index (primary woman),Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_8,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Child diarrhea rate,Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_9,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,School enrollment (boys),Q8XK3EIW.tei
,,Q8XK3EIW,Q8XK3EIW_10,,,,Targeting the Ultra Poor (TUP),"Multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and financial services to ultra-poor women",Afghanistan,2016,17,12,1,1,1,1,1,1,1,1,2,Women's empowerment index,Q8XK3EIW.tei
,,RSAW8CHM,RSAW8CHM_1,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Gross daily consumption per adult equivalent,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_2,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Household food security index,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_3,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Food consumption score,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_4,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Business revenue from off-farm self-employment,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_5,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Agricultural harvest value,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_6,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Wage earnings,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_7,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Livestock revenue,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_8,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Days spent in off-farm business,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_9,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Number of household income sources,RSAW8CHM.tei
,,RSAW8CHM,RSAW8CHM_10,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with core components (coaching, savings groups, entrepreneurship training), psychosocial components, and optional capital transfer",Niger,2017,0,16,1,0,1,1,1,1,1,1,2,Livestock count,RSAW8CHM.tei
,,TSGTVT7T,TSGTVT7T_1,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach combining asset transfer, subsistence allowance, livelihood support services, health support, and social awareness training for extreme poor women",Bangladesh,2007,-13,31,1,1,1,1,1,1,1,1,5,House value,TSGTVT7T.tei
,,TSGTVT7T,TSGTVT7T_2,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach combining asset transfer, subsistence allowance, livelihood support services, health support, and social awareness training for extreme poor women",Bangladesh,2007,-13,31,1,1,1,1,1,1,1,1,5,Cash savings,TSGTVT7T.tei
,,TSGTVT7T,TSGTVT7T_3,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach combining asset transfer, subsistence allowance, livelihood support services, health support, and social awareness training for extreme poor women",Bangladesh,2007,-13,31,1,1,1,1,1,1,1,1,5,Sanitary latrine holdings,TSGTVT7T.tei
,,TSGTVT7T,TSGTVT7T_4,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach combining asset transfer, subsistence allowance, livelihood support services, health support, and social awareness training for extreme poor women",Bangladesh,2007,-13,31,1,1,1,1,1,1,1,1,5,Social awareness index,TSGTVT7T.tei
,,TSGTVT7T,TSGTVT7T_5,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach combining asset transfer, subsistence allowance, livelihood support services, health support, and social awareness training for extreme poor women",Bangladesh,2007,-13,31,1,1,1,1,1,1,1,1,5,Outstanding loans,TSGTVT7T.tei
,,TSGTVT7T,TSGTVT7T_6,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach combining asset transfer, subsistence allowance, livelihood support services, health support, and social awareness training for extreme poor women",Bangladesh,2007,-13,31,1,1,1,1,1,1,1,1,5,Food expenditure,TSGTVT7T.tei
,,TUJ6CUI3,TUJ6CUI3_1,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Per capita consumption,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_2,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Food security index,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_3,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Assets index,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_4,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Income and revenues,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_5,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Physical health index,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_6,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Mental health index,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_7,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Political involvement index,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_8,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Women's empowerment index,TUJ6CUI3.tei
,,TUJ6CUI3,TUJ6CUI3_9,,,,Graduation Program,"Comprehensive poverty alleviation program providing productive asset transfer, consumption support, skills training, coaching, savings access, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007,0,84,1,1,1,1,1,1,0,1,1;2,Adult labor supply,TUJ6CUI3.tei
,,VAUQIN7W,VAUQIN7W_1,,,,Ultra-Poor Graduation Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with cash transfers, asset transfers, and nutrition interventions for households with pregnant women and children under 5",Burkina Faso,2018,21,15,1,0,1,0,0,0,0,1,2,Ultra-Poverty Probability,VAUQIN7W.tei
,,VAUQIN7W,VAUQIN7W_2,,,,Ultra-Poor Graduation Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with cash transfers, asset transfers, and nutrition interventions for households with pregnant women and children under 5",Burkina Faso,2018,21,15,1,0,1,0,0,0,0,1,2,Agricultural Equipment Index,VAUQIN7W.tei
,,VAUQIN7W,VAUQIN7W_3,,,,Ultra-Poor Graduation Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with cash transfers, asset transfers, and nutrition interventions for households with pregnant women and children under 5",Burkina Faso,2018,21,15,1,0,1,0,0,0,0,1,2,Severe Food Insecurity,VAUQIN7W.tei
,,VAUQIN7W,VAUQIN7W_4,,,,Ultra-Poor Graduation Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with cash transfers, asset transfers, and nutrition interventions for households with pregnant women and children under 5",Burkina Faso,2018,21,15,1,0,1,0,0,0,0,1,2,Child Height-for-Age,VAUQIN7W.tei
,,VAUQIN7W,VAUQIN7W_5,,,,Ultra-Poor Graduation Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with cash transfers, asset transfers, and nutrition interventions for households with pregnant women and children under 5",Burkina Faso,2018,21,15,1,0,1,0,0,0,0,1,2,Education Aspirations,VAUQIN7W.tei
,,VAUQIN7W,VAUQIN7W_6,,,,Ultra-Poor Graduation Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with cash transfers, asset transfers, and nutrition interventions for households with pregnant women and children under 5",Burkina Faso,2018,21,15,1,0,1,0,0,0,0,1,2,Maternal Dietary Diversity,VAUQIN7W.tei
,,XIPIMS2M,XIPIMS2M_1,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Total household consumption per adult equivalent,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_2,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Food security index,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_3,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Asset wealth index,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_4,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Savings index,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_5,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Aggregate household income,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_6,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Psychological well-being index,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_7,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Time use: Paid work for others,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_8,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Time use: Own business,XIPIMS2M.tei
,,XIPIMS2M,XIPIMS2M_9,,,,Supporting Women's Livelihoods (SWL),"Multi-arm program providing productive grants, skills training, savings group support, and mentoring to extremely poor rural women",Zambia,2015,84,12,1,0,1,1,1,1,0,1,2,Extreme poverty rate,XIPIMS2M.tei
,,XP5HHJBR,XP5HHJBR_1,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Food Consumption Score,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_2,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Food Insecurity Experience Scale,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_3,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Total Household Consumption,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_4,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Crop Quantity Harvested,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_5,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Land Area Cultivated,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_6,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Livestock Ownership,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_7,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Wage Employment,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_8,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Farm Asset Value,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_9,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Savings Probability,XP5HHJBR.tei
,,XP5HHJBR,XP5HHJBR_10,,,,WFP Integrated Resilience Programme,"Multi-component resilience program including food assistance for assets (FFA), lean season support (LSS), nutrition/health support, school feeding, and smallholder agricultural market support",Niger,2021,3,21,1,1,1,1,0,0,1,1,2,Social Support Index,XP5HHJBR.tei
,,ZBAE7IPZ,ZBAE7IPZ_1,,,,,,,,,,0,0,1,0,0,0,0,1,1,Total asset value,ZBAE7IPZ.tei
,,ZBAE7IPZ,ZBAE7IPZ_2,,,,,,,,,,0,0,1,0,0,0,0,1,1,Household durables,ZBAE7IPZ.tei
,,ZBAE7IPZ,ZBAE7IPZ_3,,,,,,,,,,0,0,1,0,0,0,0,1,1,Productive capital,ZBAE7IPZ.tei
,,ZBAE7IPZ,ZBAE7IPZ_4,,,,,,,,,,0,0,1,0,0,0,0,1,1,Monthly food consumption per capita,ZBAE7IPZ.tei
,,ZBAE7IPZ,ZBAE7IPZ_5,,,,,,,,,,0,0,1,0,0,0,0,1,1,Non-livestock income,ZBAE7IPZ.tei
,,ZBAE7IPZ,ZBAE7IPZ_6,,,,,,,,,,0,0,1,0,0,0,0,1,1,Food security index,ZBAE7IPZ.tei
,,ZBAE7IPZ,ZBAE7IPZ_7,,,,,,,,,,0,0,1,0,0,0,0,1,1,Number of sheep,ZBAE7IPZ.tei
