_key,study_id,outcome_group,outcome_category,location,literal_text,text_position,timepoint_label,timepoint_months_since_intervention_end,timepoint_literal_text,timepoint_text_position
A3SDHNSC.tei,AuthorYear2015,Financial Inclusion,Cash savings percentage,Table A3; Financial market participation; Column: Cash savings,Cash savings: 9.10% (2002) to 98.28% (2011),"Table A3, Row: Have cash savings (of respondents)",,,,
A3SDHNSC.tei,AuthorYear2015,Financial Inclusion,Outstanding loan percentage,Table A3; Financial market participation; Column: Loan status,Outstanding loans: 26.22% (2002) to 35.03% (2011),"Table A3, Row: Have outstanding loans (of HHs)",,,,
CG73D75P.tei,121294984,Expenditure/Consumption,Monthly consumption per capita (pesos),Page 25; Table 10; Treatment effects on key welfare outcomes,"311-342 pesos greater than control group average of 3,992 pesos","Table 10, Column 'Consumption per capita'",,,,
CG73D75P.tei,121294984,Food Security,Food security index (standard deviations),Page 25; Table 10; Treatment effects on key welfare outcomes,0.20-0.28 standard deviations higher than control households,"Table 10, Column 'Food Security Index'",,,,
CG73D75P.tei,121294984,Assets,Productive asset value (pesos),Page 25; Table 10; Treatment effects on key welfare outcomes,"1,954-4,484 pesos more than control households' average of 10,546 pesos","Table 10, Column 'Productive Asset Value'",,,,
CG73D75P.tei,121294984,Work/Employment,Monthly household income (pesos),Page 25; Table 10; Treatment effects on key welfare outcomes,No statistically significant change in monthly income,"Table 10, Column 'Monthly Income'",,,,
CG73D75P.tei,121294984,Social Capital/Empowerment,Subjective well-being index (standard deviations),Page 25; Table 10; Treatment effects on key welfare outcomes,0.08-0.13 standard deviations improvement for individual livelihood groups,"Table 10, Column 'Subjective Well-being'",,,,
CG73D75P.tei,121294984,Financial Inclusion,Savings likelihood and amount,Page 25; Table 10; Treatment effects on key welfare outcomes,"6-15 percentage points more likely to have savings, 224-443 pesos more savings","Table 10, Column 'Savings'",,,,
Q8XK3EIW.tei,121294984,Consumption,Per capita total consumption (USD PPP),Page 19; Results section; Table not specified,Per capita consumption increases by 30% relative to control group,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Food Security,Food security index,Page 19; Results section,Food security index increases by 0.49 standard deviations (p-value < 0.0005),Results paragraph,,,,
Q8XK3EIW.tei,121294984,Financial Inclusion,Financial inclusion index,Page 19; Results section,Financial inclusion index increases by 2.38 standard deviations (FWER-corrected p-value < 0.0005),Results paragraph,,,,
Q8XK3EIW.tei,121294984,Financial Inclusion,Formal bank account ownership,Page 19; Table 5,Formal bank account ownership increases by 28 percentage points (p-value < 0.0005),Results paragraph,,,,
Q8XK3EIW.tei,121294984,Financial Inclusion,Household savings,Page 19; Table 5,"Likelihood of saving increases by 26 percentage points, savings increased by USD 70 PPP",Results paragraph,,,,
Q8XK3EIW.tei,121294984,Assets,Livestock assets index,Page 19; Results section,Livestock assets index increases by 1.06 standard deviations,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Work/Employment,Primary woman's total time working,Page 19; Results section,55% increase in total time spent working of primary woman,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Income,Total monthly household income from productive activities,Page 19; Results section,Total monthly household income increases by USD 69 PPP,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Psychological Well-Being,Psychological well-being index for primary woman,Page 19; Results section,Psychological well-being index increases by 0.58 standard deviations,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Women's Empowerment,Women's empowerment index,Page 19; Results section,Women's empowerment index increases by 0.38 standard deviations,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Health,Child diarrhea rate,Page 19; Results section,Diarrhea rate in children under five falls by 16 percentage points,Results paragraph,,,,
Q8XK3EIW.tei,121294984,Education,School enrollment,Page 19; Results section,School enrollment increases by 4.6 percentage points for boys and 7.2 percentage points for girls,Results paragraph,,,,
RSAW8CHM.tei,121294984,Expenditure/Consumption,Gross daily consumption per adult equivalent (USD),Page 25; Table 1; Primary Outcomes; Column 1,Statistically significant treatment effects on household consumption for all three packages at both follow-ups,"Table 1, Column 1",,,,
RSAW8CHM.tei,121294984,Food Security,"Household food security index (inverse FIES, 12-month recall)",Page 25; Table 1; Primary Outcomes; Column 2,"Improves by 0.21-0.66, a 6%-20% change relative to control","Table 1, Column 2",,,,
RSAW8CHM.tei,121294984,Food Security,Dietary diversity score (Food Consumption Score),Page 25; Table 1; Primary Outcomes; Column 3,Improves by 2.71-6.01 points over 7 days (10%-22% improvement relative to control),"Table 1, Column 3",,,,
RSAW8CHM.tei,121294984,Work/Employment,Business revenues from off-farm self-employment (monthly USD),Page 26; Table 2; Beneficiary Revenues; Column 1,"Business revenues increase by $17-$36 per eligible woman per month, 76%-160% increase relative to control","Table 2, Column 1",,,,
RSAW8CHM.tei,121294984,Work/Employment,Agricultural harvest value (yearly USD),Page 26; Table 2; Beneficiary Revenues; Column 2,Substantial impacts on agricultural revenues in 2nd follow-up for psychosocial and full packages,"Table 2, Column 2",,,,
RSAW8CHM.tei,121294984,Work/Employment,Wage earnings (yearly USD),Page 26; Table 2; Beneficiary Revenues; Column 3,"Limited treatment effects, statistically significant only for full package in 2nd follow-up","Table 2, Column 3",,,,
RSAW8CHM.tei,121294984,Work/Employment,Livestock revenues (yearly USD),Page 26; Table 2; Beneficiary Revenues; Column 4,"Statistically significant in 1st follow-up for psychosocial package, in 2nd follow-up for capital and full packages","Table 2, Column 4",,,,
RSAW8CHM.tei,121294984,Work/Employment,Days spent in off-farm business (monthly),Page 26; Table 3; Beneficiary Labor Participation; Column 1,Time worked by eligible women in household businesses increases by 2.2-3.7 days per month in 2nd follow-up,"Table 3, Column 1",,,,
RSAW8CHM.tei,121294984,Income,Number of household income sources,Page 27; Table 4; Income Diversification; Column 1,Number of income sources increases by 0.34-0.49 in 1st follow-up and 0.19-0.38 in 2nd follow-up,"Table 4, Column 1",,,,
RSAW8CHM.tei,121294984,Assets,Livestock count (Tropical Livestock Units),Page 29; Table 7; Livestock; Column 1,"Livestock count increases by 0.31 units (psychosocial), 0.52 units (capital), 0.80 units (full package) in 2nd follow-up","Table 7, Column 1",,,,
RSAW8CHM.tei,121294984,Financial Inclusion,Participation in savings groups (tontine/AVEC),Page 30; Table 9; Financial Engagement; Column 1,"Increases in participation in savings groups, with 31% increase in capital arm, 27% in psychosocial, 33% in full package at 18 months","Table 9, Column 1",,,,
RSAW8CHM.tei,121294984,Psychological Well-being,Mental health index,Page 32; Table 10; Psychological Well-Being Indices; Column 1,Mental health impacts grow from 0.1 to 0.21 standard deviation between 1st and 2nd follow-up for psychosocial package,"Table 10, Column 1",,,,
RSAW8CHM.tei,121294984,Social Capital/Empowerment,Collective action index,Page 33; Table 11; Social Well-Being Indices; Column 5,Collective action index significantly increases for all packages with impacts sustained over time,"Table 11, Column 5",,,,
RSAW8CHM.tei,121294984,Work/Employment,Control over earnings and productive agency index,Page 34; Table 12; Decision-Making and Productive Agency Indices; Column 1,Positive and significant impact on beneficiary's control over earnings and productive agency for all three packages,"Table 12, Column 1",,,,
TSGTVT7T.tei,BRAC_CFPR_2010,Assets,House value (BDT),Results section; Page 12; Paragraph 1,"Value of houses went up by BDT 1197 (US $ 17.16), statistically significant at 5% level","Page 12, Paragraph 1",,,,
TSGTVT7T.tei,BRAC_CFPR_2010,Financial Inclusion,Cash savings (BDT),Results section; Page 12; Paragraph 1,Cash savings effect was BDT 1564 (US $22.42) per participant woman on average,"Page 12, Paragraph 1",,,,
TSGTVT7T.tei,BRAC_CFPR_2010,Health,Sanitary latrine holdings (%),Results section; Page 12; Paragraph 1,Sanitary latrine holdings increased by 36% among participant households,"Page 12, Paragraph 1",,,,
TSGTVT7T.tei,BRAC_CFPR_2010,Social Capital/Empowerment,Social awareness index,Results section; Page 12; Paragraph 2,Awareness index difference-in-difference is positive and statistically significant at 1% level,"Page 12, Paragraph 2",,,,
TSGTVT7T.tei,BRAC_CFPR_2010,Expenditure/Consumption,Food expenditure (BDT),Results section; Page 12; Paragraph 3,"Food expenditure was BDT 16.70 more for treatment households, significant at 5% level","Page 12, Paragraph 3",,,,
TUJ6CUI3.tei,1260799,Expenditure/Consumption,Per capita consumption (PPP USD),Page 7; Table 3; Pooled sample results,"Per capita consumption increases by 0.12 SDs (q-value 0.001), which is equivalent to PPP US$4.55 per capita per month","Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Food Security,Food security index,Page 7; Table 3; Pooled sample results,Food security index increases by 0.11 SDs (q-value 0.001),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Assets,Productive and household assets index,Page 7; Table 3; Pooled sample results,Assets index increases by 0.26 SDs (q-value 0.001),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Income,Household income and revenues,Page 7; Table 3; Pooled sample results,Income and revenues increase by 0.38 SDs (q-value 0.001),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Health,Physical health index,Page 7; Table 3; Pooled sample results,Physical health improves by 0.034 SDs (q-value 0.078),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Health,Mental health index,Page 7; Table 3; Pooled sample results,Mental health improves by 0.10 SDs (q-value 0.001),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Social Capital/Empowerment,Political involvement index,Page 7; Table 3; Pooled sample results,Political involvement increases by 0.064 SDs (q-value 0.001),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Social Capital/Empowerment,Women's empowerment index,Page 7; Table 3; Pooled sample results,Women's empowerment increases by 0.046 SDs (q-value 0.049),"Table 3, Endline 1 results column",,,,
TUJ6CUI3.tei,1260799,Work/Employment,Adult labor supply,Page 7; Results section,Adult labor supply increases by 17.5 min per adult per day (10.4% increase over control households) at endline 1,"Page 7, Results paragraph",,,,
VAUQIN7W.tei,121294984,Poverty,Probability of being ultra-poor,Page 25; Table 4; Poverty impacts across survey rounds,"Ultra-poverty reduced by 50 to 70% in first year, gradually diminishing over time","Table 4, Column 'Ultra-poverty probability'",,,,
VAUQIN7W.tei,121294984,Assets,Agricultural equipment index,Page 26; Table 5; Wealth indexes and asset accumulation,Significant impact on agriculture index mainly from tool purchases,"Table 5, Column 'Agricultural equipment index'",,,,
VAUQIN7W.tei,121294984,Food Security,Severe food insecurity (percentage points),Page 28; Results section on nutrition,Severe food insecurity decreased by 5 to 8 percentage points across treatment groups,"Page 28, Paragraph 2",,,,
VAUQIN7W.tei,121294984,Nutrition,Dietary diversity score,Page 28; Table on nutrition outcomes,"Increased dietary diversity, with significant differences in 1-year and 3-year follow-up surveys",Nutrition results table,,,,
VAUQIN7W.tei,121294984,Health,Child anthropometric measures,Page 29; Table 5; Anthropometric outcomes,Severe stunting down by 3.3 percentage points (26% decline) in T3 group,"Table 5, Stunting row",,,,
VAUQIN7W.tei,121294984,Education,Aspired years of education,Page 26; Table 3; Aspiration results,T3 households aspire to 1.4 more years of education for children,"Table 3, Education aspiration row",,,,
VAUQIN7W.tei,121294984,Work/Employment,Agricultural revenue,Page 26; Online Appendix Table OB.4,"Increases in number of cultivated crops, fertilizer plots, and agricultural revenue in one-year follow-up",Online Appendix Table OB.4,,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Expenditure/Consumption,Total household consumption per adult equivalent (standard deviations),Page 25; Table B1; Panel A and B; Columns 1-4,"0.24 (12 months), 0.44 (38 months)","Table B1, Row 'Total consumption', Columns '12-month' and '38-month' impacts",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Food Security,Food security index (standard deviations),Page 25; Table B1; Panel A and B; Columns 1-4,"0.27 (12 months), 0.23 (38 months)","Table B1, Row 'Food security', Columns '12-month' and '38-month' impacts",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Assets,Asset wealth index (standard deviations),Page 25; Table B1; Panel A and B; Columns 1-4,"0.27 (12 months), 0.28 (38 months)","Table B1, Row 'Assets', Columns '12-month' and '38-month' impacts",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Financial Inclusion,Savings index (standard deviations),Page 25; Table B1; Panel A and B; Columns 1-4,"0.54 (12 months), 0.35 (38 months)","Table B1, Row 'Savings', Columns '12-month' and '38-month' impacts",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Income,Aggregate household income (standard deviations),Page 25; Table B1; Panel A and B; Columns 1-4,"0.16 (12 months), 0.27 (38 months)","Table B1, Row 'Aggregate income', Columns '12-month' and '38-month' impacts",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Social Capital/Empowerment,Psychological well-being index (standard deviations),Page 25; Table B1; Panel A and B; Columns 1-4,"0.25 (12 months), 0.36 (38 months)","Table B1, Row 'Psyc. well-being', Columns '12-month' and '38-month' impacts",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Work/Employment,Time use: Paid work for others (minutes),Page 25; Table B13; 12-month impacts,"-13.65 (Full Package), -13.69 (Financial Capital)","Table B13, Row 'Time use: Paid work for others'",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Work/Employment,Time use: Own business (minutes),Page 25; Table B13; 12-month impacts,"4.05 (Full Package), 10.67 (Financial Capital)","Table B13, Row 'Time use: Own business'",,,,
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Poverty,Extreme poverty rate (below 336.73 ZMW/month),Page 25; Table 3; 12-month and 38-month impacts,Poverty rate reduction impacts reported,"Table 3, Poverty rate columns",,,,
XP5HHJBR.tei,OEV/2022/031,Food Security,Food Consumption Score (FCS),Page 25; Table A2.1a; Primary Food Security Indicators,Treatment | 1.5 points increase,"Table A2.1a, Row: Treatment, Column: FCS",,,,
XP5HHJBR.tei,OEV/2022/031,Food Security,Food Insecurity Experience Scale (FIES),Page 25; Table A2.1a; Primary Food Security Indicators,Treatment | 0.24 coefficient (13.1% relative increase),"Table A2.1a, Row: Treatment, Column: FIES",,,,
XP5HHJBR.tei,OEV/2022/031,Expenditure/Consumption,Total household consumption (12 months prior),Page 25; Table A2.1b; Secondary Food Security Indicators,Programme increased total consumption,"Table A2.1b, Consumption section",,,,
XP5HHJBR.tei,OEV/2022/031,Work/Employment,Household wage employment,Page 55; Table A2.10; Wage Employment,Treatment | 0.1000*** increase in household wage employment,"Table A2.10, Column: HH with wage employment",,,,
XP5HHJBR.tei,OEV/2022/031,Assets,Farm asset value,Page 56; Table A2.11; Assets,"Treatment | Farm Assets value increased by 3,833.2* FCFA","Table A2.11, Column: Farm Assets value (in CFA)",,,,
XP5HHJBR.tei,OEV/2022/031,Agriculture,Crop quantity harvested,Page 53; Table A2.5; Agriculture - All crops,Treatment | Quantity harvested increased by 59.84 kg (22% increase),"Table A2.5, Column: Quantity harvested",,,,
XP5HHJBR.tei,OEV/2022/031,Livestock,Livestock ownership,Page 54; Table A2.8; Livestock,Treatment | 0.0894*** increase in owned livestock,"Table A2.8, Column: Owned livestock",,,,
XP5HHJBR.tei,OEV/2022/031,Financial Inclusion,Savings,Page 56; Table A2.12; Savings and Loans,"Treatment | 0.0189** increase in savings, 100.9* increase in savings amount","Table A2.12, Columns: Saved (0/1), Amount of Savings",,,,
XP5HHJBR.tei,OEV/2022/031,Social Capital/Empowerment,Social support index,Page 52; Table A2.13; Social Well-being,Treatment | Increased ability to mobilize financial support,"Table A2.13, Multiple columns showing social support improvements",,,,
ZBAE7IPZ.tei,AppendixTables,Assets,Total asset value (PPP$),"Appendix Table 4, Row [1]",Total asset value (PPP$): 290.15*** (66.97),"Appendix Table 4, Row [1], Column Coefficient",,,,
ZBAE7IPZ.tei,AppendixTables,Assets,Household durables (PPP$),"Appendix Table 4, Row [2]",Household durables (PPP$): 64.16* (33.13),"Appendix Table 4, Row [2], Column Coefficient",,,,
ZBAE7IPZ.tei,AppendixTables,Assets,Productive capital (PPP$),"Appendix Table 4, Row [3]",Productive capital (PPP$): 227.52*** (42.25),"Appendix Table 4, Row [3], Column Coefficient",,,,
ZBAE7IPZ.tei,AppendixTables,Expenditure/Consumption,Monthly food consumption per capita (PPP$),"Appendix Table 5, Panel A, Row [2]",Food -3.06** (1.38),"Appendix Table 5, Panel A, Row [2], Column Coefficient",,,,
ZBAE7IPZ.tei,AppendixTables,Work/Employment,Non-livestock income (PPP$),"Appendix Table 7, Row [1]",Non-livestock income: 42.79 (338.43),"Appendix Table 7, Row [1], Column Coefficient",,,,
ZBAE7IPZ.tei,AppendixTables,Food Security,Food security index,"Appendix Table 8, Row [1]",Food security index: 0.04 (0.07),"Appendix Table 8, Row [1], Column Coefficient",,,,
ZBAE7IPZ.tei,AppendixTables,Assets,Any sheep or goat ownership,"Appendix Table 9, Row 'Any sheep or goat'",Any sheep or goat: 0.22*** (0.03),"Appendix Table 9, Row 'Any sheep or goat', Column Coefficient",,,,
