Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key,paper_id,StudyID_GT
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018.0,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,Food security index,CG73D75P.tei,122182713,122182713
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018.0,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,Productive asset value,CG73D75P.tei,122182713,122182713
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018.0,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,Business ownership,CG73D75P.tei,122182713,122182713
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018.0,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,Savings likelihood and amount,CG73D75P.tei,122182713,122182713
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Per capita total consumption,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Poverty headcount,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Formal bank account ownership,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Livestock asset index,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Women's labor participation,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Total monthly household income,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Psychological well-being index,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Women's empowerment index,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,Child diarrhea rate,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016.0,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,School enrollment,Q8XK3EIW.tei,121295641,121295641
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Daily household consumption per adult equivalent,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Household food security index,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Women's dietary diversity score,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Business revenue from women's off-farm self-employment,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Agricultural harvest value for women,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Wage earnings for women,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017.0,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2,Livestock revenue for women,RSAW8CHM.tei,121058356,121058356
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services including health support and social awareness",Bangladesh,2007.0,12.0,,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,5,House value,TSGTVT7T.tei,122182716,122182716
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services including health support and social awareness",Bangladesh,2007.0,12.0,,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,5,Cash savings,TSGTVT7T.tei,122182716,122182716
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services including health support and social awareness",Bangladesh,2007.0,12.0,,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,5,Sanitary latrine holdings,TSGTVT7T.tei,122182716,122182716
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services including health support and social awareness",Bangladesh,2007.0,12.0,,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,5,Social awareness index,TSGTVT7T.tei,122182716,122182716
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services including health support and social awareness",Bangladesh,2007.0,12.0,,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,5,Food expenditure,TSGTVT7T.tei,122182716,122182716
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Per capita consumption,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Food security index,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Productive and household assets index,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Household income and revenues,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Physical health index,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Mental health index,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Political involvement index,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Graduation Program,"A comprehensive program targeting ultra-poor households with productive asset transfer, consumption support, skills training, coaching, savings encouragement, and basic health services","Multi-country (Ethiopia, Ghana, Honduras, India, Pakistan, Peru)",2007.0,0.0,84.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1;2,Women's empowerment index,TUJ6CUI3.tei,121058373,121058373
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Ultra-poverty probability,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Severe food insecurity,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Dietary diversity score,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Severe wasting,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Severe stunting,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Agricultural equipment index,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Agricultural revenue,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Ultra-Poverty Reduction Program in Burkina Faso,"Multifaceted program targeting ultra-poor households with pregnant women or children under five, including cash transfers, animal transfers, and nutrition interventions across three treatment arms",Burkina Faso,2018.0,21.0,15.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,1,Education years aspired,VAUQIN7W.tei,121354848,121354848
,,,nan_nan,,,,Supporting Women's Livelihoods (SWL),"Multi-arm randomized evaluation providing rural women with bundled support including: (i) a productive grant equivalent to US$225, (ii) a 21-session life and business skills training, (iii) support to form savings groups, and (iv) six months of group mentoring",Zambia,2018.0,43.0,14.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,Total household consumption per adult equivalent,XIPIMS2M.tei,121327437,121327437
,,,nan_nan,,,,Supporting Women's Livelihoods (SWL),"Multi-arm randomized evaluation providing rural women with bundled support including: (i) a productive grant equivalent to US$225, (ii) a 21-session life and business skills training, (iii) support to form savings groups, and (iv) six months of group mentoring",Zambia,2018.0,43.0,14.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,Food security index,XIPIMS2M.tei,121327437,121327437
,,,nan_nan,,,,Supporting Women's Livelihoods (SWL),"Multi-arm randomized evaluation providing rural women with bundled support including: (i) a productive grant equivalent to US$225, (ii) a 21-session life and business skills training, (iii) support to form savings groups, and (iv) six months of group mentoring",Zambia,2018.0,43.0,14.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,Asset wealth index,XIPIMS2M.tei,121327437,121327437
,,,nan_nan,,,,Supporting Women's Livelihoods (SWL),"Multi-arm randomized evaluation providing rural women with bundled support including: (i) a productive grant equivalent to US$225, (ii) a 21-session life and business skills training, (iii) support to form savings groups, and (iv) six months of group mentoring",Zambia,2018.0,43.0,14.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,Savings index,XIPIMS2M.tei,121327437,121327437
,,,nan_nan,,,,Supporting Women's Livelihoods (SWL),"Multi-arm randomized evaluation providing rural women with bundled support including: (i) a productive grant equivalent to US$225, (ii) a 21-session life and business skills training, (iii) support to form savings groups, and (iv) six months of group mentoring",Zambia,2018.0,43.0,14.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,Aggregate household income index,XIPIMS2M.tei,121327437,121327437
,,,nan_nan,,,,Supporting Women's Livelihoods (SWL),"Multi-arm randomized evaluation providing rural women with bundled support including: (i) a productive grant equivalent to US$225, (ii) a 21-session life and business skills training, (iii) support to form savings groups, and (iv) six months of group mentoring",Zambia,2018.0,43.0,14.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,Psychological well-being index,XIPIMS2M.tei,121327437,121327437
,,OEV/2022/031,OEV/2022/031_1.0,,,,WFP Integrated Resilience Programme,"Integrated resilience programming including food assistance for assets (FFA), lean season support (LSS), school feeding, nutrition/health support, and Smallholder Agricultural Market Support (SAMS)",Niger,2021.0,-3.0,27.0,1.0,1.0,1,1.0,0.0,0.0,1.0,2.0,2,Food Consumption Score,XP5HHJBR.tei,121294841,121294841
,,OEV/2022/031,OEV/2022/031_2.0,,,,WFP Integrated Resilience Programme,"Integrated resilience programming including food assistance for assets (FFA), lean season support (LSS), school feeding, nutrition/health support, and Smallholder Agricultural Market Support (SAMS)",Niger,2021.0,-3.0,27.0,1.0,1.0,1,1.0,0.0,0.0,1.0,2.0,2,Food Insecurity Experience Scale,XP5HHJBR.tei,121294841,121294841
,,OEV/2022/031,OEV/2022/031_3.0,,,,WFP Integrated Resilience Programme,"Integrated resilience programming including food assistance for assets (FFA), lean season support (LSS), school feeding, nutrition/health support, and Smallholder Agricultural Market Support (SAMS)",Niger,2021.0,-3.0,27.0,1.0,1.0,1,1.0,0.0,0.0,1.0,2.0,2,Total Crop Quantity Harvested,XP5HHJBR.tei,121294841,121294841
,,OEV/2022/031,OEV/2022/031_4.0,,,,WFP Integrated Resilience Programme,"Integrated resilience programming including food assistance for assets (FFA), lean season support (LSS), school feeding, nutrition/health support, and Smallholder Agricultural Market Support (SAMS)",Niger,2021.0,-3.0,27.0,1.0,1.0,1,1.0,0.0,0.0,1.0,2.0,2,Share of Households Owning Livestock,XP5HHJBR.tei,121294841,121294841
,,OEV/2022/031,OEV/2022/031_5.0,,,,WFP Integrated Resilience Programme,"Integrated resilience programming including food assistance for assets (FFA), lean season support (LSS), school feeding, nutrition/health support, and Smallholder Agricultural Market Support (SAMS)",Niger,2021.0,-3.0,27.0,1.0,1.0,1,1.0,0.0,0.0,1.0,2.0,2,Life Satisfaction Score,XP5HHJBR.tei,121294841,121294841
,,OEV/2022/031,OEV/2022/031_6.0,,,,WFP Integrated Resilience Programme,"Integrated resilience programming including food assistance for assets (FFA), lean season support (LSS), school feeding, nutrition/health support, and Smallholder Agricultural Market Support (SAMS)",Niger,2021.0,-3.0,27.0,1.0,1.0,1,1.0,0.0,0.0,1.0,2.0,2,Household Wage Employment,XP5HHJBR.tei,121294841,121294841
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Total asset value,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Household durables,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Productive capital,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Total monthly consumption per capita,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Food monthly consumption per capita,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Non-livestock income,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,Food security index,ZBAE7IPZ.tei,121058369,121058369
,,,nan_nan,,,,,,,,,,,,1,,,,,,,All household members usually get enough food,ZBAE7IPZ.tei,121058369,121058369
